LOCATION,SUBURB,Reason Code,Audit Date
Livingstone Street,AVENEL,BC,Aug-2024
Lloyd Street,MOE,ABCD,Feb-2024
Lockwood Road,KANGAROO FLAT,ACD,May-2024
Loddon Valley  Highway,MACORNA,BC,T
Loddon Valley  Highway,TRAGOWEL,C,T
Loddon Valley Highway,TRAGOWEL,C,T
Loddon Valley Highway,KERANG SOUTH,C,T
Loddon Valley Highway,CAMPBELLS FOREST,C,May-2024
Loddon Valley Highway,CANARY ISLAND SOUTH,C,Aug-2024
Loddon Valley Highway,DURHAM OX,C,Aug-2024
Loddon Valley Highway,JARKLIN,C,Aug-2024
Loddon Valley Highway,YARRABERB,C,Aug-2024
Long Forest Road,LONG FOREST,BC,Aug-2024
Longford-Loch Sport Road,LONGFORD,ABC,Dec-2023
Longford-Loch Sport Road,DUTSON,C,Dec-2023
Lower Dandenong Road,MORDIALLOC,AC,Jun-2024
Lower Dandenong Road,DINGLEY VILLAGE,C,Mar-2024
Lower Duneed Road,MOUNT DUNEED,ABC,Aug-2024
Lower Heidelberg Road,IVANHOE EAST,ABCD,T
Lower Plenty Road,YALLAMBIE,BC,Aug-2024
Ludstone Street,HAMPTON,AC,Mar-2024
Lum Road,WHEELERS HILL,BC,Jun-2024
Lyall Road,BERWICK,B,Apr-2024
Lynnes Road,WATTLE BANK,BC,Sep-2024
Lyon Road,VIEWBANK,BCD,Aug-2024
Lyons Street,WHITE HILLS,CD,May-2024
Lyrebird Drive,CARRUM DOWNS,ABC,Sep-2024
MacArthur Street,SALE,C,Dec-2023
Macaulay Road,NORTH MELBOURNE,ABC,Aug-2024
Mackie Road,BENTLEIGH EAST,BCD,Jun-2024
Macleod Street,BAIRNSDALE,BC,Dec-2023
Madeira Packet Road,PORTLAND,C,T
Maffra-Rosedale Road,NAMBROK,ABC,Dec-2023
Maffra-Sale Road,MAFFRA,ABCD,Dec-2023
Maginness Street,BENALLA,C,Apr-2024
Maiden Gully Road,MAIDEN GULLY,ABCD,May-2024
Maidstone Street,ALTONA,C,T
Main Hurstbridge Road,DIAMOND CREEK,BCD,Aug-2024
Main Neerim Road,NEERIM SOUTH,ABC,T
Main Neerim Road,NEERIM JUNCTION,ABD,T
Main Neerim Road,DROUIN,BCD,T
Main Road,CAMPBELLS CREEK,ABCD,T
Main Road,LOWER PLENTY,ABCD,Aug-2024
Main Road,MONTMORENCY,AC,Aug-2024
Main Road,HURSTBRIDGE,BC,Aug-2024
Main Road,PAYNESVILLE,C,Dec-2023
Main Road,SEASPRAY,C,May-2024
Main Road,ELTHAM,C,Aug-2024
Main Road East,ST ALBANS,ABCD,May-2024
Main Road West,ST ALBANS,ABCD,May-2024
Main Street,BLACKBURN,ABCD,Jun-2024
Main Street,ROMSEY,CD,May-2024
Major Road,FAWKNER,ABC,Aug-2024
Majorca Road,MARYBOROUGH,BC,Aug-2024
Malcolm Street,MANSFIELD,ABC,Apr-2024
Mallee,MURRAYVILLE,ABCD,Aug-2024
Mallee Highway,PIANGIL WEST,C,T
Mallee Highway,BOINKA,C,Aug-2024
Mallee Highway,BOORONGIE NORTH,C,Aug-2024
Mallee Highway,CARINA,C,Aug-2024
Mallee Highway,COWANGIE,C,Aug-2024
Mallee Highway,KULWIN,C,Aug-2024
Mallee Highway,PANITYA,C,Aug-2024
Mallee Highway,UNDERBOOL,C,Aug-2024
Mallee Highway,WAGANT,C,Aug-2024
Mallee Highway,WALPEUP,C,Aug-2024
Mallee Highway,MANANGATANG,C,Aug-2024
Mallee Highway,PIANGIL,C,Aug-2024
Malvern Road,SOUTH YARRA,BC,Jun-2024
Malvern Road,GLEN IRIS,C,Jun-2024
Malvern Road,MALVERN EAST,C,Jun-2024
Malvern Road,TOORAK,C,Jun-2024
Manks Road,CLYDE,B,Apr-2024
Manningham Street,PARKVILLE,BD,Aug-2024
Mansfield Whitfield Road,MANSFIELD,ABCD,Apr-2024
Mansfield Whitfield Road,BRIDGE CREEK,ACD,Apr-2024
Mansfield-Whitfield Road,TOLMIE,ABC,Apr-2024
Mansfield-Whitfield Road,BRIDGE CREEK,C,Apr-2024
Mansfield-Woods Point Road,PIRIES,AC,Apr-2024
Mansfield-Woods Point Road,JAMIESON,BCD,Apr-2024
Mansfield-Woods Point Road,MANSFIELD,C,Apr-2024
Mansfield-Woods Point Road,HOWQUA,C,Apr-2024
Manuka Road,BERWICK,B,Apr-2024
Marathon Boulevard,CRAIGIEBURN,ABC,Aug-2024
Maribyrnong Road,ASCOT VALE,BC,Aug-2024
Marine Drive,SAFETY BEACH,C,Sep-2024
Marine Parade,HASTINGS,ABC,Sep-2024
Marine Parade,ELWOOD,BC,Jun-2024
Market Road,SUNSHINE,BCD,May-2024
Market Road,WERRIBEE,C,T
Marlo Road,MARLO,BC,May-2024
Marong Road,IRONBARK,ABCD,Oct-2023
Marong Road,WEST BENDIGO,ACD,May-2024
Maroondah Highway,YARCK,A,Apr-2024
Maroondah Highway,MERTON,ABC,Apr-2024
Maroondah Highway,HEALESVILLE,ABC,Jul-2024
Maroondah Highway,COLDSTREAM,ABCD,Jul-2024
Maroondah Highway,MAINDAMPLE,AC,Apr-2024
Maroondah Highway,BONNIE DOON,AC,Apr-2024
Maroondah Highway,BUXTON,AC,Apr-2024
Maroondah Highway,LILYDALE,ACD,Jul-2024
Maroondah Highway,MANSFIELD,C,Apr-2024
Maroondah Highway,KANUMBRA,C,Apr-2024
Maroondah Highway,NARBETHONG,C,Apr-2024
Maroondah Highway,TAGGERTY,C,Apr-2024
Maroondah highway,WOODFIELD,C,Apr-2024
Maroondah Link Highway,CATHKIN,C,Apr-2024
Mary Street,HEYFIELD,ABCD,Dec-2023
Maryborough Road,ASCOT,C,Aug-2024
Maryborough-Ballarat Road,TALBOT,ACD,Aug-2024
Maryborough-Dunolly Road,HAVELOCK,ABCD,Aug-2024
Marysville Buxton Road,MARYSVILLE,ABCD,Apr-2024
Marysville Road,GRANTON,C,Apr-2024
Maryvale Road,MORWELL,BC,Feb-2024
Mascoma Street,STRATHMORE,BC,Aug-2024
Massey Avenue,RESERVOIR,BCD,Aug-2024
Mayfair Drive,WODONGA,BCD,May-2024
McBryde Street,FAWKNER,BCD,Aug-2024
McClelland Drive,LANGWARRIN,ABC,Sep-2024
McCormick Road,KYABRAM,CD,May-2024
McCormicks Road,CARRUM DOWNS,ABC,Sep-2024
Mccormicks Road,SANDHURST,ABCD,Nov-2023
McCurdy Road,HERNE HILL,BC,Aug-2024
McDonalds Road,EPPING,BCD,Aug-2024
McIntyre Road,SUNSHINE NORTH,ABCD,Jun-2024
McIvor Highway,AXEDALE,AC,May-2024
McIvor Highway,JUNORTOUN,AC,May-2024
McIvor Highway,LONGLEA,ACD,May-2024
McIvor Highway,KNOWSLEY,C,May-2024
McKean Street,BAIRNSDALE,C,Dec-2023
McKimmies Road,BUNDOORA,BCD,Aug-2024
Mclennan Street,MOOROOPNA,ABCD,T
McMahens Road,BANGHOLME,C,Aug-2024
McMahons Road,FRANKSTON,C,Sep-2024
Meadowvale  Drive,GROVEDALE,BC,Aug-2024
Medway Road,CRAIGIEBURN,C,Aug-2024
Meeniyan-Promontory Road,BUFFALO,BC,Sep-2024
Melaluka Road,LEOPOLD,ABCD,Aug-2024
Melba Highway,YARRA GLEN,ABC,Jul-2024
Melba Highway,DIXONS CREEK,ABCD,Jul-2024
Melba Highway,LIMESTONE,AC,Aug-2024
Melba Highway,DEVLIN BRIDGE,C,Aug-2024
Melba Highway,GLENBURN,C,Aug-2024
Melbourne Road,NORTH GEELONG,ABCD,T
Melbourne Road,RYE,ABCD,Sep-2024
Melbourne Road,YEA,C,Aug-2024
Melbourne Road,BLAIRGOWRIE,C,Sep-2024
Melbourne Road,SORRENTO,C,Sep-2024
Melbourne-Lancefield Road,CLARKEFIELD,AC,May-2024
Melbourne-Lancefield Road,ROMSEY,AC,May-2024
Melbourne-Lancefield Road,SUNBURY,C,Aug-2024
Melrose Drive,TULLAMARINE,ABCD,T
Melrose Drive,WODONGA,ABCD,May-2024
Melton Highway,TAYLORS LAKES,ABCD,T
Melton Highway,MELTON,ABCD,May-2024
Melton Highway,SYDENHAM,C,May-2024
Melton Road,GISBORNE,ABCD,May-2024
Melton Valley Drive,MELTON,BCD,May-2024
Melville Road,BRUNSWICK WEST,BCD,Aug-2024
Melville Road,PASCOE VALE SOUTH,C,Aug-2024
Menadue Street,HORSHAM,BC,T
Merriang Road,BEVERIDGE,ABCD,Aug-2024
Merriang Road,WOODSTOCK,CD,Aug-2024
Merton-Euroa Road,MERTON,AC,Apr-2024
Metropolitan Ring Road,WATSONIA NORTH,ABC,Jan-2024
Metung Road,SWAN REACH,AC,Dec-2023
Mickleham Road,TULLAMARINE,ABC,Aug-2024
Mickleham Road,GREENVALE,ABC,Aug-2024
Mickleham Road,MICKLEHAM,AC,Aug-2024
Mickleham Road,YUROKE,AC,Aug-2024
Middleborough Road,BLACKBURN SOUTH,C,Jun-2024
Midland Highway,ELAINE,ABC,Aug-2024
Midland Highway,EPSOM,ABCD,Oct-2023
Midland Highway,MOOROOPNA,ABCD,Aug-2024
Midland Highway,MANSFIELD,AC,Apr-2024
Midland Highway,BENALLA,AC,Apr-2024
Midland Highway,LIMA,AC,Apr-2024
Midland Highway,BATESFORD,AC,Aug-2024
Midland Highway,HUNTLY,ACD,May-2024
Midland Highway,NEWLYN,BC,Aug-2024
Midland Highway,MAGPIE,BC,Aug-2024
Midland Highway,GHERINGHAP,BC,Aug-2024
Midland Highway,SHEPPARTON EAST,BC,Aug-2024
Midland Highway,GOORNONG,BCD,May-2024
Midland Highway,STEWARTON,C,Oct-2023
Midland Highway,BARJARG,C,Apr-2024
Midland Highway,SWANPOOL,C,Apr-2024
Midland Highway,BAGSHOT,C,May-2024
Midland Highway,BLAMPIED,C,Aug-2024
Midland Highway,MOUNT FRANKLIN,C,Aug-2024
Midland Highway,MOUNT PROSPECT,C,Aug-2024
Midland Highway,BARKERS CREEK,C,Aug-2024
Midland Highway,CAMPBELLS CREEK,C,Aug-2024
Midland Highway,CASTLEMAINE,C,Aug-2024
Midland Highway,BANNOCKBURN,C,Aug-2024
Midland Highway,CLARENDON,C,Aug-2024
Midland Highway,BYRNESIDE,C,Aug-2024
Midland Highway,TATURA,C,Aug-2024
Midland Highway,COROP,CD,May-2024
MIDLAND Highway,AVONMORE,CD,May-2024
Midland Highway,WHITE HILLS,CD,May-2024
Midland Link Highway,MAINDAMPLE,ABC,Apr-2024
Military Road,AVONDALE HEIGHTS,BC,Aug-2024
Milleara Road,KEILOR EAST,C,Aug-2024
Miller Street,EPPING,AC,Aug-2024
Millers Road,ALTONA,C,T
Millers Road,ALTONA NORTH,C,T
Millewa Road,KOORLONG,C,Aug-2024
Millewa Road,RED CLIFFS,C,Aug-2024
Mitcham Road,MITCHAM,C,Jun-2024
Mitchell Street,COLBINABBIN,BCD,May-2024
Mitchell Street,MAIDSTONE,C,T
Mitford Street,ELWOOD,BCD,Jun-2024
Moe-Glengarry Road,YALLOURN NORTH,AC,Feb-2024
Moe-Rawson Road,MOONDARRA,AC,T
Moe-Willow Grove Road,WILLOW GROVE,AC,T
Monaro Highway,NOORINBEE,ABC,May-2024
Monash Road,NEWBOROUGH,ABC,Feb-2024
Monash Street,SUNSHINE,ABCD,Jun-2024
Monash Way,CHURCHILL,ABC,Feb-2024
Monbulk Road,SILVAN,ABC,Jul-2024
Monbulk Road,MOUNT EVELYN,ABCD,T
Mont Albert Road,CANTERBURY,C,Jun-2024
Montague Street,SOUTH MELBOURNE,ABCD,Jun-2024
Montague Street,ALBERT PARK,BCD,Jun-2024
Moore Street,MOE,ABC,Feb-2024
Moore Street,WARRNAMBOOL,C,Nov-2023
Moorooduc Highway,MOUNT ELIZA,ABCD,T
Mooroopna-Murchison Road,MURCHISON,BC,Aug-2024
Mooroopna-Murchison Road,OLD TOOLAMBA,BC,Aug-2024
Moran Street,PICOLA,BC,Apr-2024
Moran Street,LONG GULLY,BCD,May-2024
Morang Drive,MILL PARK,C,Aug-2024
Moray Street,SOUTH MELBOURNE,BCD,Jun-2024
Moreland Road,BRUNSWICK,C,Aug-2024
Moreland Street,FOOTSCRAY,ABCD,T
Mornington Peninsula Freeway,ROSEBUD,ABC,Sep-2024
Mornington Peninsula Freeway,PATTERSON LAKES,ABCD,T
Mornington Peninsula Freeway,DROMANA,ABCD,Sep-2024
Mornington Peninsula Freeway,CHELSEA HEIGHTS,C,T
Mornington Peninsula Freeway,BANGHOLME,C,T
Mornington Peninsula Freeway,MCCRAE,C,Sep-2024
Mornington-Tyabb Road,TYABB,ABCD,Sep-2024
Morpung Avenue,IRYMPLE,BC,Aug-2024
Morris Road,HOPPERS CROSSING,C,T
Mortlake-Ararat Road,DENICULL CREEK,C,T
Mortlake-Ararat Road,MAROONA,C,T
Mossfiel Drive,HOPPERS CROSSING,C,T
Mount Buffalo Road,POREPUNKAH,BC,T
Mount Buller Road,MERRIJIG,ABC,Apr-2024
Mount Buller Road,SAWMILL SETTLEMENT,ABC,Apr-2024
Mount Buller Road,MANSFIELD,AC,Apr-2024
Mount Dandenong Road,CROYDON,ABC,May-2024
Mount Dandenong Tourist Road,MONTROSE,ABC,May-2024
Mount Macedon Road,WOODEND,C,May-2024
Mount Pleasant Road,ELTHAM,BC,Aug-2024
Mount Ridley Road,CRAIGIEBURN,AC,Aug-2024
Mt Alexander Road,ESSENDON,ABC,Aug-2024
Mt Buller Road,MERRIJIG,BCD,Apr-2024
Mt DERRIMUT Road,DERRIMUT,BCD,Jun-2024
Mt Ridley Road,MICKLEHAM,ABC,Aug-2024
Murchison-Tatura Road,DHURRINGILE,BC,Aug-2024
Murchison-Tatura Road,TATURA,BC,Aug-2024
Murchison-Violet Town Road,ARCADIA SOUTH,AC,Aug-2024
Murchison-Violet Town Road,MURCHISON EAST,BC,Aug-2024
Murchison-Violet Town Road,MIEPOLL,C,Aug-2024
Murdoch Road,WANGARATTA,BC,T
Murphy Street,EAST BENDIGO,C,May-2024
Murray Parade,KOONDROOK,C,T
Murray Road,COBURG,C,Aug-2024
Murray Valley  Highway,BEVERFORD,BC,T
Murray Valley Highway,COBRAM EAST,ABC,Apr-2024
Murray Valley Highway,STRATHMERTON,ABC,Apr-2024
Murray Valley Highway,TORRUMBARRY,ABC,May-2024
Murray Valley Highway,BARNAWARTHA NORTH,ABC,May-2024
Murray Valley Highway,BRIMIN,ABC,May-2024
Murray Valley Highway,BROWNS PLAINS,ABC,May-2024
Murray Valley Highway,WHARPARILLA,ABCD,May-2024
Murray Valley Highway,KOTUPNA,ABCD,May-2024
Murray Valley Highway,NATHALIA,ABCD,May-2024
Murray Valley Highway,YARRAWONGA,ABCD,May-2024
Murray Valley Highway,BARAWARTHA,ABCD,Aug-2024
Murray Valley Highway,BUNDALONG,ACD,Apr-2024
Murray Valley Highway,BAREP,ACD,May-2024
Murray Valley Highway,ECHUCA,ACD,May-2024
Murray Valley Highway,PEDERICK,ACD,May-2024
Murray Valley Highway,COHUNA,BC,T
Murray Valley Highway,MEAD,BC,T
Murray Valley Highway,WEE WEE RUP,BC,T
Murray Valley Highway,WOOD WOOD,BC,T
Murray Valley Highway,GUNBOWER,BC,May-2024
Murray Valley Highway,LEITCHVILLE,BC,May-2024
Murray Valley Highway,BARNAWARTHA,BC,May-2024
Murray Valley Highway,BERRINGAMA,BC,May-2024
Murray Valley Highway,CUDGEWA,BC,May-2024
Murray Valley Highway,TALLANGATTA,BC,May-2024
Murray Valley Highway,BEVERFORD,BC,Aug-2024
Murray Valley Highway,KENLEY,BC,Aug-2024
Murray Valley Highway,LAKE BOGA,BC,Aug-2024
Murray Valley Highway,NYAH,BC,Aug-2024
Murray Valley Highway,SWAN HILL,BC,Aug-2024
Murray Valley Highway,MYSTIC PARK,C,T
Murray Valley Highway,ROBINVALE,C,T
Murray Valley Highway,FAIRLEY,C,T
Murray Valley Highway,KERANG,C,T
Murray Valley Highway,KERANG EAST,C,T
Murray Valley Highway,LAKE CHARM,C,T
Murray Valley Highway,TRESCO,C,T
Murray Valley Highway,VINIFERA,C,T
Murray Valley Highway,BONEGILLA,C,May-2024
Murray Valley Highway,BULLIOH,C,May-2024
Murray Valley Highway,CORRYONG,C,May-2024
Murray Valley Highway,EBDEN,C,May-2024
Murray Valley Highway,RED BLUFF,C,May-2024
Murray Valley Highway,BOUNDARY BEND,C,Aug-2024
Murray Valley Highway,LAKE POWELL,C,Aug-2024
Murray Valley Highway,NARRUNG,C,Aug-2024
Murray Valley Highway,PIAMBIE,C,Aug-2024
Murray Valley Highway,PIANGIL,C,Aug-2024
Murray Valley Highway,BURRAMINE,CD,Apr-2024
Murray Valley Highway,ECHUCA VILLAGE,CD,May-2024
Murray Valley Hwy,TOWONG UPPER,C,May-2024
Murrumbeena Road,MURRUMBEENA,C,Mar-2024
Must Street,PORTLAND,C,T
Myers Road,BITTERN,BC,Sep-2024
Myrtle Street,MYRTLEFORD,ABCD,Sep-2024
Myrtlebank Road,MYRTLEBANK,ABC,Dec-2023
Myrtleford-Yackandandah Road,MUDGEGONGA,BC,Mar-2024
Napier Street,STRATHMORE,C,Aug-2024
Napoleon Road,ROWVILLE,ABC,Feb-2024
Narracan Drive,NEWBOROUGH,ABCD,Feb-2024
Navigators Road,NAVIGATORS,ABCD,Aug-2024
Neale Road,DEER PARK,BCD,Jun-2024
Nelson Road,LILYDALE,BCD,May-2024
Nepean Highway,DROMANA,ABC,Sep-2024
Nepean Highway,FRANKSTON SOUTH,ABC,Sep-2024
Nepean Highway,MORNINGTON,ABC,Sep-2024
Nepean Highway,MOUNT ELIZA,ABC,Sep-2024
Nepean Highway,MENTONE,ABCD,T
Nepean Highway,CHELSEA,ABCD,T
Nepean Highway,BRIGHTON EAST,ABCD,Mar-2024
Nepean Highway,EDITHVALE,ABCD,Mar-2024
Nepean Highway,SEAFORD,ABCD,Sep-2024
Nepean Highway,ELSTERNWICK,C,Mar-2024
Nepean Highway,PARKDALE,C,Jun-2024
Nepean Highway Service Road,MORNINGTON,BCD,Sep-2024
Nerowie Road,PARWAN,C,May-2024
New Dookie Road,GRAHAMVALE,BC,Aug-2024
Newcastle Street,PRESTON,BCD,Jun-2024
Newlands Road,COBURG,ABC,Aug-2024
Newlands Road,RESERVOIR,BCD,Aug-2024
Newlands Road,COBURG NORTH,C,Aug-2024
Nicholson Street,BRUNSWICK EAST,BCD,Aug-2024
Nicholson Street,COBURG,C,Aug-2024
Ninth Street,MILDURA,ABCD,Aug-2024
Noble Street,NOBLE PARK,CD,Aug-2024
Nolan Street,NORTH BENDIGO,ABCD,May-2024
Norman Street,WENDOUREE,C,Aug-2024
Normanby Avenue,THORNBURY,C,Aug-2024
Normanby Drive,GREENVALE,BC,Aug-2024
Normanby Street,WARRAGUL,BC,T
North Boundary Road,HAMILTON,C,May-2024
North Road,LANGWARRIN,ABC,Sep-2024
North Road,PEARCEDALE,B,Apr-2024
North Road,BRIGHTON EAST,C,Jun-2024
Northern Highway,ECHUCA,ABC,May-2024
Northern Highway,MYOLA,ABC,May-2024
Northern Highway,PYALONG,ABC,Aug-2024
Northern Highway,WALLAN,ABCD,T
Northern Highway,KILMORE,ABCD,Aug-2024
Northern Highway,ARGYLE,AC,May-2024
Northern Highway,LADYS PASS,AC,May-2024
Northern Highway,TOOLLEEN,AC,May-2024
NORTHERN Highway,ELMORE,ACD,May-2024
Northern Highway,TOOBORAC,BC,Aug-2024
Northern Highway,ELMORE,BCD,May-2024
Northern Highway,STRATHALLAN,C,May-2024
Northern Highway,HEATHCOTE,C,May-2024
Northern Highway,BYLANDS,C,Aug-2024
Northern Highway,HIGH CAMP,C,Aug-2024
Northern Highway Offramp,BEVERIDGE,ABCD,T
Northgate Drive,THOMASTOWN,ABCD,Aug-2024
Northumberland Road,PASCOE VALE,ABC,Aug-2024
Northumberland Road,SUNSHINE NORTH,BCD,May-2024
Novara Parade,ST ALBANS,BC,Jun-2024
Oak Street,PARKVILLE,ABC,Aug-2024
Oaklands Road,GREENVALE,ABCD,T
Oaklands Road,BULLA,AC,Aug-2024
Oaklands Road,OAKLANDS JUNCTION,BC,Aug-2024
Oakwood Road,ALBANVALE,C,Jun-2024
Oberon Avenue,ST ALBANS,C,May-2024
Ogilvie Avenue,ECHUCA,C,May-2024
O'Gradys Road,CARRUM DOWNS,ABC,Sep-2024
O'Gradys Road,KILMORE EAST,C,Aug-2024
O'Herns Road,EPPING,BCD,Aug-2024
Old Calder Highway,KEILOR,BCD,Jun-2024
Old Dandenong Road,OAKLEIGH SOUTH,C,Jun-2024
Old Geelong Road,HOPPERS CROSSING,ABCD,T
Old Geelong Road,LAVERTON NORTH,ABCD,T
Old Melbourne Road,TRARALGON,ABC,Feb-2024
Old Melbourne Road,GORDON,ABCD,Aug-2024
Old Sale Road,DROUIN WEST,C,T
Old Warrandyte Road,DONVALE,C,Jan-2024
Olympic Parade,MAIDEN GULLY,ABC,May-2024
Olympic Parade,KANGAROO FLAT,ACD,Jun-2024
Omeo Highway,ESKDALE,ABC,May-2024
O'Neil Road,BEACONSFIELD,BC,Apr-2024
ONeills Road,MELTON,BCD,May-2024
Ontario Avenue,MILDURA,ABCD,Aug-2024
Oriel Road,IVANHOE,C,Aug-2024
Ormond Esplanade,ELWOOD,BC,Jun-2024
Ormond Road,EAST GEELONG,BC,Aug-2024
Ormond Road,MOONEE PONDS,C,Aug-2024
Orrong Road,TOORAK,C,Jun-2024
Overport Road,FRANKSTON,C,Sep-2024
Overton Lea Boulevard,SYDENHAM,BC,May-2024
Oxley Flats Road,WANGARATTA,ABC,Apr-2024
Pakenham Road,PAKENHAM,ABCD,T
Palmerston Street,MELTON,C,May-2024
Panorama Avenue,LOWER PLENTY,BC,Aug-2024
Panton Street,GOLDEN SQUARE,CD,May-2024
Parer Road,AIRPORT WEST,BC,Aug-2024
Park Road,CHELTENHAM,AC,Mar-2024
Park Road,MARYBOROUGH,BCD,Aug-2024
Park Road,DONVALE,C,Jan-2024
Park Road,PARK ORCHARDS,C,Jan-2024
Park Street,SOUTH YARRA,ABCD,Jul-2024
Parkhill Road,KEW,ABCD,Jun-2024
Parkside Drive,SHEPPARTON,C,Aug-2024
Parwan-Exford Road,PARWAN,C,May-2024
Pascoe Vale Road,GLENROY,ABC,Aug-2024
Pascoe Vale Road,JACANA,ABC,Aug-2024
Pascoe Vale Road,MEADOW HEIGHTS,ABCD,Aug-2024
Pascoe Vale Road,COOLAROO,ABCD,Aug-2024
Pascoe Vale Road,OAK PARK,AC,Aug-2024
Pascoe Vale Road,PASCOE VALE,AC,Aug-2024
Pascoe Vale Road,ESSENDON,C,Aug-2024
Pascoe Vale Road,STRATHMORE,C,Aug-2024
Patten Street,SALE,C,Dec-2023
Patterson Avenue,KEILOR,C,Jun-2024
Paynesville Road,BAIRNSDALE,ABC,Dec-2023
Pearcedale Road,CRANBOURNE SOUTH,B,Apr-2024
Pearcedale Road,PEARCEDALE,B,Apr-2024
Peel Street,BALLARAT,C,Aug-2024
Pender Street,THORNBURY,BCD,Jun-2024
Perkins Road,LARA,ABCD,Aug-2024
Perry Road,KEYSBOROUGH,CD,Aug-2024
Phillip Island Road,SURF BEACH,AC,Sep-2024
Pickles Street,ALBERT PARK,ABCD,Jun-2024
Pillars Road,BANGHOLME,BC,Aug-2024
Pine Park Drive,WOLLERT,BCD,Aug-2024
Pioneer Road,GROVEDALE,BC,Aug-2024
Piries-Goughs Bay Road,PIRIES,C,Apr-2024
Pitfield-Scarsdale Road,CAPE CLEAR,ABCD,Aug-2024
Pitfield-Scarsdale Road,SPRINGDALLAH,ABCD,Aug-2024
Pitfield-Scarsdale Road,NEWTOWN,BCD,Aug-2024
Pitt Street,ELTHAM,BC,Aug-2024
Plantation Road,CORIO,BC,Aug-2024
Plenty River Drive,GREENSBOROUGH,BC,Aug-2024
Plenty Road,BUNDOORA,ABCD,Jan-2024
Plenty Road,MILL PARK,ABCD,Jan-2024
Plenty Road,RESERVOIR,ABCD,Aug-2024
Plenty Road,YAN YEAN,AC,Aug-2024
Plenty Road,MERNDA,BCD,Aug-2024
Plummer Street,PORT MELBOURNE,BCD,Jun-2024
Plumpton  Avenue,GLENROY,BC,Aug-2024
Plumpton Road,FRASER RISE,ABCD,May-2024
Plumpton Road,PLUMPTON,ABCD,May-2024
Poath Road,HUGHESDALE,B,Mar-2024
Point Cook Road,POINT COOK,ABCD,T
Point Nepean Road,ROSEBUD,ABCD,T
Point Nepean Road,CAPEL SOUND,C,Sep-2024
Point Nepean Road,DROMANA,C,Sep-2024
Point Nepean Road,MCCRAE,C,Sep-2024
Point Nepean Road,TOOTGAROOK,C,Sep-2024
Point Richards Road,PORTARLINGTON,BC,Aug-2024
Police Road,SPRINGVALE,C,Aug-2024
Pollack Street,COLAC,C,Aug-2024
Port Fairy Road,BYADUK,C,May-2024
Port Fairy Road,HAMILTON,C,May-2024
Portarlington Road,MOOLAP,AC,Aug-2024
Portarlington-Queenscliff Road,MANNERIM,ABC,Aug-2024
Portland-Casterton Road,SANDFORD,C,T
Portland-Nelson Road,MOUNT RICHMOND,ABC,T
Portland-Nelson Road,PORTLAND,C,T
Pound Road,HAMPTON PARK,ABCD,Apr-2024
Pound Road,NARRE WARREN SOUTH,C,Apr-2024
Powells Avenue,EAST BENDIGO,C,May-2024
Power Road,ENDEAVOUR HILLS,B,Apr-2024
Powerscourt Street,MAFFRA,C,Dec-2023
Powlett Street,INVERLOCH,BC,Sep-2024
Prince Street,ROSEDALE,C,Dec-2023
Princes  Freeway,LONGWARRY,ABCD,T
Princes  Freeway,WARRAGUL,ABCD,T
Princes  Highway,MOE,ABCD,Feb-2024
Princes  Highway,EUMEMMERRING,BCD,Apr-2024
Princes Drive,MORWELL,ABCD,Feb-2024
Princes Freeway,WARRAGUL,ABC,T
Princes Freeway,DROUIN,ABCD,T
Princes Freeway,LONGWARRY NORTH,ABCD,T
Princes Freeway,BUNYIP NORTH,ABCD,T
Princes Freeway,MORWELL,ABCD,Feb-2024
Princes Freeway,NEWBOROUGH,ABCD,Feb-2024
Princes Freeway,NAR NAR GOON,ABCD,Apr-2024
Princes Freeway,BUNYIP,AC,Apr-2024
Princes Freeway,DARNUM,ACD,T
Princes Freeway,NILMA,ACD,T
Princes Freeway,GARFIELD,B,Apr-2024
Princes Freeway,TYNONG,B,Apr-2024
Princes Freeway,TYNONG NORTH,B,Apr-2024
Princes Freeway,PAKENHAM,BC,Apr-2024
Princes Freeway,LONGWARRY,BCD,T
Princes Highway,TERANG,ABC,Nov-2023
Princes Highway,NAR NAR GOON,ABC,Apr-2024
Princes Highway,HALLAM,ABC,Apr-2024
Princes Highway,GENOA,ABC,May-2024
Princes Highway,BELMONT,ABC,Aug-2024
Princes Highway,FLYNN,ABCD,Feb-2024
Princes Highway,MOE,ABCD,Feb-2024
Princes Highway,TRARALGON,ABCD,Feb-2024
Princes Highway,TRARALGON EAST,ABCD,Feb-2024
Princes Highway,OFFICER,ABCD,Apr-2024
Princes Highway,BERWICK,ABCD,Apr-2024
Princes Highway,WERRIBEE,ABCD,Apr-2024
Princes Highway,PAKENHAM,ABCD,May-2024
Princes Highway,HEYWOOD,AC,Nov-2023
Princes Highway,CLUB TERRACE,AC,May-2024
Princes Highway,POMBORNEIT,BC,Nov-2023
Princes Highway,PORT FAIRY,BC,Dec-2023
Princes Highway,JOHNSONVILLE,BC,Dec-2023
Princes Highway,LAKES ENTRANCE,BC,Dec-2023
Princes Highway,NOWA NOWA,BC,Dec-2023
Princes Highway,TOSTAREE,BC,May-2024
Princes Highway,OAKLEIGH EAST,BC,Jun-2024
Princes Highway,PIRRON YALLOCK,BC,Aug-2024
Princes Highway,HUNTINGDALE,BCD,Jun-2024
Princes Highway,TRAFALGAR,C,T
