Road,Suburb,Latitude,Longitude,Formatted_Address
Kiewa Valley Highway,TAWONGA,-36.7106684,147.1430948,"Kiewa Valley Highway, Tawonga VIC 3697, Australia"
Kiewa Valley Highway,TAWONGA SOUTH,-36.7213043,147.1476176,"Kiewa Valley Highway, Mount Beauty VIC 3698, Australia"
Kiewa Valley Highway,BARANDUDA,-36.178047,146.9526807,"Kiewa Valley Highway, Baranduda VIC 3691, Australia"
Kiewa Valley Highway,RUNNING CREEK,-36.6092209,147.0975892,"Kiewa Valley Highway, Alpine Shire VIC 3691, Australia"
Kiewa Valley Highway,BANDIANA,-36.157228,146.937251,"Kiewa Valley Highway, Bandiana VIC 3691, Australia"
Kiewa Valley Highway,DEDERANG,-36.4290608,147.0376255,"Kiewa Valley Highway, Alpine Shire VIC 3691, Australia"
Kilby Road,KEW EAST,-37.7921378,145.0534144,"Kilby Road, Kew East VIC 3102, Australia"
Kilmore - Lancefield Road,KILMORE,-37.3014268,144.8676054,"Kilmore - Lancefield Road, Kilmore VIC 3764, Australia"
Kilmore-Epping Road,WALLAN,-37.4138855,144.9774549,"Wallan VIC 3756, Australia"
Kilmore-Lancefield Road,KILMORE,-37.3014268,144.8676054,"Kilmore - Lancefield Road, Kilmore VIC 3764, Australia"
Pillars Road,BANGHOLME,-38.0275808,145.1589828,"Pillars Road, Bangholme VIC 3175, Australia"
Pine Park Drive,WOLLERT,-37.6128052,145.0380468,"Pine Park Drive, Wollert VIC 3750, Australia"
Pioneer Road,GROVEDALE,-38.2031763,144.3407265,"Pioneer Road, Grovedale VIC 3216, Australia"
Piries-Goughs Bay Road,PIRIES,-37.1481597,146.1314417,"Piries - Goughs Bay Road, Piries VIC 3723, Australia"
Pitfield-Scarsdale Road,CAPE CLEAR,-37.8034793,143.6054667,"Pitfield-Scarsdale Road, Cape Clear VIC 3351, Australia"
Pitfield-Scarsdale Road,SPRINGDALLAH,-37.8034793,143.6054667,"Pitfield-Scarsdale Road, Cape Clear VIC 3351, Australia"
Pitfield-Scarsdale Road,NEWTOWN,-37.7437725,143.6352991,"Pitfield-Scarsdale Road, Golden Plains Shire VIC 3351, Australia"
Pitt Street,ELTHAM,-37.7208065,145.145543,"Pitt Street, Eltham VIC 3095, Australia"
Plantation Road,CORIO,-38.0687405,144.3763339,"Plantation Road, Corio VIC 3214, Australia"
Plenty River Drive,GREENSBOROUGH,-37.6965857,145.1082403,"Plenty River Drive, Greensborough VIC 3088, Australia"
Plenty Road,BUNDOORA,-37.7196969,145.0381641,"Plenty Road, Bundoora VIC 3086, Australia"
Plenty Road,MILL PARK,-37.661814,145.072976,"Plenty Road, Mill Park VIC 3082, Australia"
Plenty Road,RESERVOIR,-37.7303079,145.0156179,"Plenty Road, Reservoir VIC 3073, Australia"
Plenty Road,YAN YEAN,-37.5685967,145.1067023,"Plenty Road, Yan Yean VIC 3975, Australia"
Plenty Road,MERNDA,-37.595545,145.101207,"Plenty Road, Mernda VIC 3754, Australia"
Plummer Street,PORT MELBOURNE,-37.8322792,144.9271786,"Plummer Street, Port Melbourne VIC 3207, Australia"
Plumpton  Avenue,GLENROY,-37.7063322,144.9212248,"Plumpton Avenue, Glenroy VIC 3046, Australia"
Plumpton Road,FRASER RISE,-37.6913794,144.6965396,"Plumpton Road, Fraser Rise VIC 3336, Australia"
Plumpton Road,PLUMPTON,-33.7479736,150.8421179,"Plumpton Road, Plumpton NSW 2761, Australia"
Poath Road,HUGHESDALE,-37.8913251,145.0773721,"Poath Road, Hughesdale VIC 3166, Australia"
Point Cook Road,POINT COOK,-37.903602,144.7531182,"Point Cook Road, Point Cook VIC 3030, Australia"
Point Nepean Road,ROSEBUD,-38.3516146,144.9201211,"Point Nepean Road, Rosebud VIC 3939, Australia"
Point Nepean Road,CAPEL SOUND,-38.3635776,144.8763999,"Point Nepean Road, Capel Sound VIC 3940, Australia"
Point Nepean Road,DROMANA,-38.3317341,144.9667507,"Point Nepean Road, Dromana VIC 3936, Australia"
Point Nepean Road,MCCRAE,-38.3439405,144.9383417,"Point Nepean Road, McCrae VIC 3938, Australia"
Point Nepean Road,TOOTGAROOK,-38.3682807,144.8567984,"Point Nepean Road, Tootgarook VIC 3941, Australia"
Point Richards Road,PORTARLINGTON,-38.1113852,144.629516,"Point Richards Road, Portarlington VIC 3223, Australia"
Police Road,SPRINGVALE,-37.9346819,145.1690819,"Police Road, Springvale VIC 3171, Australia"
Pollack Street,COLAC,-38.3358488,143.5936323,"Pollack Street, Colac VIC 3250, Australia"
Port Fairy Road,BYADUK,-37.9507657,141.954463,"Hamilton-Port Fairy Road, Byaduk VIC 3301, Australia"
Port Fairy Road,HAMILTON,-37.8117257,142.0036438,"Hamilton-Port Fairy Road, Hamilton VIC 3300, Australia"
Portarlington Road,MOOLAP,-38.1721205,144.4397855,"Portarlington Road, Moolap VIC 3224, Australia"
Portarlington-Queenscliff Road,MANNERIM,-38.220659,144.6361397,"Queenscliff Road, Mannerim VIC 3222, Australia"
Portland-Casterton Road,SANDFORD,-37.6041005,141.4437866,"Portland - Casterton Road, Sandford VIC 3312, Australia"
Portland-Nelson Road,MOUNT RICHMOND,-38.2027825,141.3908744,"Portland - Nelson Road, Mount Richmond VIC 3305, Australia"
Portland-Nelson Road,PORTLAND,-38.3004045,141.5551348,"Portland - Nelson Road, Portland VIC 3305, Australia"
Pound Road,HAMPTON PARK,-38.0261971,145.2473164,"Pound Road, Hampton Park VIC 3976, Australia"
Pound Road,NARRE WARREN SOUTH,-38.0493457,145.2977656,"Pound Road, Narre Warren South VIC 3805, Australia"
Powells Avenue,EAST BENDIGO,-36.7506181,144.3176032,"Powells Avenue, East Bendigo VIC 3550, Australia"
Power Road,ENDEAVOUR HILLS,-37.9669547,145.2436301,"Power Road, Endeavour Hills VIC 3802, Australia"
Powerscourt Street,MAFFRA,-37.952463,146.9856617,"Powerscourt Street, Maffra VIC 3860, Australia"
Powlett Street,INVERLOCH,-38.6275538,145.7222224,"Powlett Street, Inverloch VIC 3996, Australia"
Prince Street,ROSEDALE,-38.1516752,146.7888633,"Prince Street, Rosedale VIC 3847, Australia"
Princes  Freeway,LONGWARRY,-38.0894676,145.8045237,"Princes Freeway Onramp, Shire of Baw Baw VIC 3816, Australia"
Princes  Freeway,WARRAGUL,-38.1426807,145.8844584,"Princes Freeway, Warragul VIC 3820, Australia"
Princes  Highway,MOE,-38.185257,146.262964,"Princes Freeway, Yallourn VIC 3825, Australia"
Princes  Highway,EUMEMMERRING,-38.0022175,145.2410053,"Princes Highway, Eumemmerring VIC 3177, Australia"
Princes Drive,MORWELL,-38.2355559,146.3939864,"Princes Drive, Morwell VIC 3840, Australia"
Princes Freeway,WARRAGUL,-38.1426807,145.8844584,"Princes Freeway, Warragul VIC 3820, Australia"
Princes Freeway,DROUIN,-38.0997212,145.851039,"Princes Freeway, Drouin VIC 3818, Australia"
Princes Freeway,LONGWARRY NORTH,-38.0894676,145.8045237,"Princes Freeway Onramp, Shire of Baw Baw VIC 3816, Australia"
Princes Freeway,BUNYIP NORTH,-38.078059,145.706249,"Princes Highway, Bunyip VIC 3815, Australia"
Princes Freeway,MORWELL,-38.2406532,146.3852282,"Princes Freeway, Morwell VIC 3840, Australia"
Princes Freeway,NEWBOROUGH,-38.181938,146.273505,"Princes Freeway, Newborough VIC 3825, Australia"
Princes Freeway,NAR NAR GOON,-38.0698114,145.563688,"Princes Freeway, Melbourne VIC 3812, Australia"
Princes Freeway,BUNYIP,-38.09537,145.720997,"Bunyip (Melbourne) VIC 3815, Australia"
Princes Freeway,DARNUM,-38.1875459,146.0037143,"Darnum VIC 3822, Australia"
Princes Freeway,NILMA,-38.1711312,145.9672035,"Nilma VIC 3821, Australia"
Princes Freeway,GARFIELD,-38.091912,145.678488,"Garfield (Melbourne) VIC 3814, Australia"
Princes Freeway,TYNONG,-38.071262,145.647656,"Old Princes Highway, Tynong North VIC 3813, Australia"
Princes Freeway,TYNONG NORTH,-38.071262,145.647656,"Old Princes Highway, Tynong North VIC 3813, Australia"
Princes Freeway,PAKENHAM,-38.0904048,145.5003204,"Princes Freeway, Pakenham VIC 3810, Australia"
Princes Freeway,LONGWARRY,-38.0894676,145.8045237,"Princes Freeway Onramp, Shire of Baw Baw VIC 3816, Australia"
Princes Highway,TERANG,-38.2609672,142.8836223,"Princes Highway, Terang VIC 3264, Australia"
Princes Highway,NAR NAR GOON,-38.0694384,145.5748449,"Princes Highway, Melbourne VIC 3812, Australia"
Princes Highway,HALLAM,-38.0056406,145.2638544,"Princes Highway, Hallam VIC 3803, Australia"
Princes Highway,GENOA,-37.4756157,149.5929131,"Princes Highway, Genoa VIC 3891, Australia"
Princes Highway,BELMONT,-38.1858219,144.3315086,"High Street, Belmont VIC 3216, Australia"
Princes Highway,FLYNN,-38.1580385,146.7165595,"Princes Highway, Shire of Wellington VIC 3844, Australia"
Princes Highway,MOE,-38.185257,146.262964,"Princes Freeway, Yallourn VIC 3825, Australia"
Princes Highway,TRARALGON,-38.1906613,146.5623393,"Princes Highway, Traralgon VIC 3844, Australia"
Princes Highway,TRARALGON EAST,-38.1905735,146.562059,"Princes Highway, City of Latrobe VIC 3844, Australia"
Princes Highway,OFFICER,-38.0566248,145.3904044,"Princes Highway, Officer VIC 3809, Australia"
Princes Highway,BERWICK,-38.0287306,145.3264245,"Princes Highway, Berwick VIC 3806, Australia"
Princes Highway,WERRIBEE,-37.899617,144.667758,"Princes Highway, Werribee VIC 3030, Australia"
Princes Highway,PAKENHAM,-38.0657812,145.513508,"Princes Highway, Pakenham VIC 3810, Australia"
Princes Highway,HEYWOOD,-38.1431836,141.6270879,"Princes Highway, Heywood VIC 3304, Australia"
Princes Highway,CLUB TERRACE,-37.562908,149.0645854,"Princes Highway, Shire of East Gippsland VIC 3890, Australia"
Princes Highway,POMBORNEIT,-38.264207,143.2834978,"Princes Highway, Pomborneit North VIC 3260, Australia"
Princes Highway,PORT FAIRY,-38.3569343,142.1396238,"Princes Highway, Port Fairy VIC 3284, Australia"
Princes Highway,JOHNSONVILLE,-37.8190175,147.8225281,"Princes Highway, Johnsonville VIC 3902, Australia"
Princes Highway,LAKES ENTRANCE,-37.876571,148.0053417,"Princes Highway, Cunninghame VIC 3909, Australia"
Princes Highway,NOWA NOWA,-37.7348683,148.0832309,"Princes Highway, Nowa Nowa VIC 3887, Australia"
Princes Highway,TOSTAREE,-37.7493405,148.2327763,"Princes Highway, Shire of East Gippsland VIC 3888, Australia"
Princes Highway,OAKLEIGH EAST,-37.8996435,145.10567,"Oakleigh East, Melbourne, VIC, Australia"
Princes Highway,PIRRON YALLOCK,-38.3491925,143.4288907,"Princes Highway, Pirron Yallock VIC 3249, Australia"
Princes Highway,HUNTINGDALE,-37.907779,145.108573,"Huntingdale (Melbourne) VIC 3166, Australia"
Princes Highway,TRAFALGAR,-38.2080347,146.1546486,"Princes Highway, Trafalgar VIC 3824, Australia"
Princes Highway,DRUMBORG,-38.079449,141.38422,"Drumborg, VIC, Australia"
Princes Highway,GREENWALD,-37.9672814,141.3556646,"Princes Highway, Drik Drik VIC 3304, Australia"
Princes Highway,NARRAWONG,-38.2392503,141.749283,"Princes Highway, Narrawong VIC 3285, Australia"
Princes Highway,TYRENDARRA,-38.2191473,141.7783404,"Princes Highway, Tyrendarra VIC 3285, Australia"
Princes Highway,ALLANSFORD,-38.387822,142.5627367,"Princes Highway, Allansford VIC 3277, Australia"
Princes Highway,MUMBANNAR,-37.9281324,141.2775262,"Princes Highway, Dartmoor VIC 3304, Australia"
Princes Highway,LUCKNOW,-37.8224588,147.6788617,"Princes Highway, Shire of East Gippsland VIC 3875, Australia"
Princes Highway,CABBAGE TREE CREEK,-37.6946721,148.72707,"Princes Highway, Cabbage Tree Creek VIC 3889, Australia"
Princes Highway,MANORINA,-37.6587471,148.8053547,"Princes Highway, Shire of East Gippsland VIC 3889, Australia"
Princes Highway,MCKENZIE RIVER,-37.6285716,148.8832855,"McKenzie River, Shire of East Gippsland VIC 3889, Australia"
Princes Highway,NEWMERELLA,-37.7381571,148.4255279,"Princes Highway, Newmerella VIC 3886, Australia"
Princes Highway,ORBOST,-37.7023905,148.4860639,"Princes Highway, Orbost VIC 3888, Australia"
Princes Highway,WAYGARA,-37.7493405,148.2327763,"Princes Highway, Shire of East Gippsland VIC 3888, Australia"
Princes Highway,SPRINGVALE,-37.9282002,145.148768,"Princes Highway, Springvale VIC 3171, Australia"
Princes Way,WARRAGUL,-38.1570399,145.9194396,"Princes Way, Warragul VIC 3820, Australia"
Princes Way,LONGWARRY,-38.0827669,145.7684268,"Princes Way, Shire of Baw Baw VIC 3816, Australia"
Princes Way,DROUIN,-38.1418151,145.8841208,"Princes Way, Drouin VIC 3818, Australia"
Princess Street,KEW,-37.7919306,145.0317585,"Princess Street, Kew VIC 3101, Australia"
Progress Road,ELTHAM NORTH,-37.7020902,145.1283433,"Progress Road, Eltham North VIC 3095, Australia"
Promontory Road,YANAKIE,-38.752719,146.1348308,"Foster - Promontory Road, Fish Creek VIC 3960, Australia"
Prospect Hill Road,NARRE WARREN,-38.0110505,145.3070264,"Prospect Hill Road, Narre Warren VIC 3805, Australia"
Prouses Road,CALIFORNIA GULLY,-36.728377,144.2586962534859,"California Gully, City of Greater Bendigo, VIC, Australia"
Purnell Road,CORIO,-38.0742147,144.3588288,"Purnell Road, Corio VIC 3214, Australia"
Pyke Street,QUARRY HILL,-36.7694435,144.2847878,"Pyke Street, Quarry Hill VIC 3550, Australia"
Pyrenees Highway,ELMHURST,-37.170027,143.2316244,"Pyrenees Highway, Elmhurst VIC 3469, Australia"
Pyrenees Highway,AMPHITHEATRE,-37.1978788,143.3294538,"Pyrenees Highway, Amphitheatre VIC 3469, Australia"
Pyrenees Highway,CASTLEMAINE,-37.069485,144.175172,"Pyrenees Highway, McKenzie Hill VIC 3451, Australia"
Pyrenees Highway,ARARAT,-37.245523,142.9817203,"Pyrenees Highway, Ararat VIC 3377, Australia"
Pyrenees Highway,EVERSLEY,-37.1857965,143.1652772,"Pyrenees Highway, Eversley VIC 3377, Australia"
Quarry Road,LANGWARRIN,-38.1427959,145.2023459,"Quarry Road, Langwarrin VIC 3910, Australia"
Queen Street,ALTONA,-37.8694059,144.8310657,"Queen Street, Altona VIC 3018, Australia"
Queen Street,MAFFRA,-37.9683064,146.9814526,"Queen Street, Maffra VIC 3860, Australia"
Queen Street,WARRAGUL,-38.1676208,145.9528036,"Queen Street, Warragul VIC 3820, Australia"
Queen Street,ALTONA,-37.8694059,144.8310657,"Queen Street, Altona VIC 3018, Australia"
Queens Avenue,CAULFIELD EAST,-37.8776705,145.044694,"Queens Avenue, Caulfield East VIC 3145, Australia"
Racecourse Road,PAKENHAM,-38.072158,145.4943115,"Racecourse Road, Pakenham VIC 3810, Australia"
Racecourse Road,ASCOT,-27.4351461,153.0649621,"Racecourse Road, Ascot QLD 4007, Australia"
Radford Road,RESERVOIR,-37.7017712,144.9847509,"Radford Road, Reservoir VIC 3073, Australia"
Raglan Street,PRESTON,-37.7514433,145.0251334,"Raglan Street, Preston VIC 3072, Australia"
Raglan Street,SALE,-38.0977035,147.0629227,"Raglan Street, Sale VIC 3850, Australia"
Railway Avenue,WERRIBEE,-37.8969947,144.6659053,"Railway Avenue, Werribee VIC 3030, Australia"
Raleigh Street,WESTMEADOWS,-37.6777517,144.9003089,"Raleigh Street, Westmeadows VIC 3049, Australia"
Ranfurly Way,MILDURA,-34.1754007,142.1156984,"Ranfurly Way, Mildura VIC 3500, Australia"
Rattray Road,MONTMORENCY,-37.7159732,145.1363955,"Rattray Road, Montmorency VIC 3094, Australia"
Rea Street,SHEPPARTON,-36.3700633,145.4015057,"Rea Street, Shepparton VIC 3630, Australia"
Recreation Road,YAN YEAN,-37.5667169,145.1218858,"Recreation Road, Yan Yean VIC 3975, Australia"
Rees Road,MELTON SOUTH,-37.7107607,144.5632224,"Rees Road, Melton South VIC 3338, Australia"
Reeve Street,SALE,-38.1116248,147.0613422,"Reeve Street, Sale VIC 3850, Australia"
Regent Street,MERNDA,-37.6052184,145.0711249,"Regent Street, Mernda VIC 3754, Australia"
Reid Parade,HASTINGS,-38.316012,145.1873437,"Reid Parade, Melbourne VIC 3915, Australia"
Remembrance Drive,CARDIGAN,-37.5393862,143.7802444,"Remembrance Drive, Lucas VIC 3352, Australia"
Research Warrandyte Road,RESEARCH,-37.7099558,145.1935487,"Research – Warrandyte Road, Research VIC 3095, Australia"
Research-Warrandyte Road,NORTH WARRANDYTE,-37.7347781,145.220877,"Research - Warrandyte Road, North Warrandyte VIC 3113, Australia"
Reserve Road,CHELTENHAM,-37.9651472,145.0369878,"Reserve Road, Cheltenham VIC 3190, Australia"
Reservoir Road,KENNINGTON,-36.7751192,144.308565,"Reservoir Road, Kennington VIC 3550, Australia"
Reservoir Road,SUNBURY,-37.5676281,144.6868129,"Reservoir Road, Melbourne VIC 3429, Australia"
Retreat Road,SPRING GULLY,-36.7971688,144.2876369,"Retreat Road, Spring Gully VIC 3550, Australia"
Reynolds Parade,PASCOE VALE SOUTH,-37.742637,144.9396246,"Reynolds Parade, Pascoe Vale South VIC 3044, Australia"
Reynolds Road,TEMPLESTOWE,-37.7633934,145.1663383,"Reynolds Road, Templestowe VIC 3106, Australia"
Rhodes Parade,PASCOE VALE,-37.7250777,144.9379604,"Pascoe Vale, Melbourne, VIC, Australia"
Riddell Road,SUNBURY,-37.4930177,144.68191,"Riddell Road, Sunbury VIC 3431, Australia"
Riggall Street,DALLAS,-37.6764882,144.9336537,"Riggall Street, Dallas VIC 3047, Australia"
Ring Road,ALFREDTON,-37.5444026,143.7982728,"Ring Road, Alfredton VIC 3352, Australia"
Rippon Road,HAMILTON,-37.7339121,142.0429886,"Rippon Road, Hamilton VIC 3300, Australia"
River Avenue,MERBEIN SOUTH,-34.2166637,142.0432901,"River Avenue, CSIRO Merbein Research Station VIC 3501, Australia"
River Drive,TARWIN LOWER,-38.7006582,145.8686891,"River Drive, Tarwin Lower VIC 3956, Australia"
River Road,COBRAM,-35.9255138,145.6725888,"River Road, Cobram VIC 3644, Australia"
River Road,MURCHISON,-36.5959446,145.2255973,"River Road, Murchison VIC 3610, Australia"
Riverine Street,BAIRNSDALE,-37.8232384,147.6287375,"Riverine Street, Bairnsdale VIC 3875, Australia"
Riverside Avenue,MILDURA,-34.1953439,142.1204526,"Riverside Avenue, Mildura VIC 3500, Australia"
Riverview Drive,KIALLA,-36.4029994,145.3685834,"Riverview Drive, Kialla VIC 3631, Australia"
Robinsons Road,LANGWARRIN,-38.1772334,145.16335,"Robinsons Road, Langwarrin VIC 3910, Australia"
Robinsons Road,FRANKSTON,-38.1737301,145.1394892,"Robinsons Road, Frankston South VIC 3199, Australia"
Robinsons Road,LANGWARRIN SOUTH,-38.1776307,145.1657895,"Robinsons Road, Langwarrin South VIC 3911, Australia"
Robinsons Road,PEARCEDALE,-38.184935,145.2193375,"Robinsons Road, Pearcedale VIC 3912, Australia"
Robinvale-Sea Lake Road,ROBINVALE,-34.6015036,142.771635,"Robinvale - Sea Lake Road, Robinvale VIC 3549, Australia"
Rockbank Middle Road,CAROLINE SPRINGS,-37.7465757,144.7450531,"Rockbank Middle Road, Caroline Springs VIC 3023, Australia"
Rohs Road,EAST BENDIGO,-36.7433335,144.3151554,"Rohs Road, East Bendigo VIC 3550, Australia"
Rokewood-Shelford Road,ROKEWOOD,-37.958986,143.8932507,"Rokewood - Shelford Road, Shelford VIC 3329, Australia"
Rokewood-Skipton Road,ROKEWOOD,-37.8874903,143.6872162,"Rokewood - Skipton Road, Rokewood VIC 3330, Australia"
Rosedale-Heyfield Road,WINNINDOO,-38.0277665,146.7656967,"Rosedale - Heyfield Road, Shire of Wellington VIC 3858, Australia"
Rosedale-Longford Road,LONGFORD,-38.1600851,147.0802471,"Rosedale - Longford Road, Longford VIC 3851, Australia"
Rosehill Road,LOWER PLENTY,-37.7369475,145.1258363,"Rosehill Road, Lower Plenty VIC 3093, Australia"
Rosella Avenue,WERRIBEE,-37.8771292,144.6726463,"Rosella Avenue, Werribee VIC 3030, Australia"
Rowan Drive,KEALBA,-37.7284576,144.8254009,"Rowan Drive, Kealba VIC 3021, Australia"
Rowan Street,WANGARATTA,-36.3510567,146.3140555,"Rowan Street, Wangaratta VIC 3677, Australia"
Rowes Road,WERRIBEE,-37.8871855,144.6350758,"Rowes Road, Werribee VIC 3030, Australia"
Roxburgh Park Drive,ROXBURGH PARK,-37.6231615,144.9244286,"Roxburgh Park Drive, Roxburgh Park VIC 3064, Australia"
Royal Parade,PARKVILLE,-37.7980903,144.9576949,"Royal Parade, Parkville VIC 3052, Australia"
Roycroft Avenue,MILL PARK,-37.6731832,145.0520752,"Roycroft Avenue, Mill Park VIC 3032, Australia"
Rushworth Road,MURCHISON,-36.60026,145.13763,"Bendigo - Murchison Road, Rushworth VIC 3610, Australia"
Rushworth-Tatura Road,RUSHWORTH,-36.5701602,145.0217191,"Rushworth-Tatura Road, Rushworth VIC 3612, Australia"
Russell Street,CASTERTON,-37.5932904,141.3929667,"Russell Street, Casterton VIC 3311, Australia"
Russell Street,BALLARAT,-37.5700986,143.833356,"Russell Street, Newington VIC 3350, Australia"
Ryans Road,ELTHAM NORTH,-37.688165,145.1426714,"Ryans Road, Eltham North VIC 3089, Australia"
Ryrie Street,EAST GEELONG,-38.1565186,144.3848715,"Ryrie Street, East Geelong VIC 3219, Australia"
Ryrie Street,GEELONG,-38.151488,144.3672325,"Ryrie Street, Geelong VIC 3220, Australia"
Sages Road,BAXTER,-38.1958289,145.1340348,"Sages Road, Baxter VIC 3911, Australia"
Sailors Gully Road,EAGLEHAWK,-36.7083413,144.245184,"Sailors Gully Road, Eaglehawk VIC 3556, Australia"
Sailors Gully Road,SAILORS GULLY,-36.7082779,144.2404856,"Sailors Gully Road, Bendigo VIC 3556, Australia"
Sale-Heyfield Road,DENISON,-38.0089202,146.7797042,"Sale - Heyfield Road, Heyfield VIC 3858, Australia"
Sale-Heyfield Road,FULHAM,-38.0995995,146.9889231,"Sale - Heyfield Road, Fulham VIC 3851, Australia"
Salmon Street,PORT MELBOURNE,-37.8349442,144.9249552,"Salmon Street, Port Melbourne VIC 3207, Australia"
Salmon Street,HASTINGS,-38.3185108,145.1946938,"Salmon Street, Melbourne VIC 3915, Australia"
Saltlake Boulevard,WOLLERT,-37.6205974,145.0379069,"Saltlake Boulevard, Wollert VIC 3750, Australia"
Saltwater Promenade,POINT COOK,-37.911207,144.7640068,"Saltwater Promenade, Point Cook VIC 3030, Australia"
Samaria Road,BENALLA,-36.5561458,145.9956465,"Samaria Road, Benalla VIC 3672, Australia"
San Mateo Avenue,MILDURA,-34.2093982,142.1432496,"San Mateo Avenue, Mildura VIC 3500, Australia"
Sand Road,LONGWARRY,-38.0969317,145.7748361,"Sand Road, Longwarry VIC 3816, Australia"
Sanders Road,HAZELWOOD NORTH,-38.2432229,146.5028431,"Sanders Road, Traralgon VIC 3844, Australia"
Sandhurst Road,CALIFORNIA GULLY,-36.7304018,144.2629876,"Sandhurst Road, California Gully VIC 3556, Australia"
Sandilong Avenue,IRYMPLE,-34.2187309,142.1714449,"Sandilong Avenue, Irymple VIC 3498, Australia"
Sandpiper Drive,TAYLORS LAKES,-37.6929148,144.7912851,"Sandpiper Drive, Taylors Lakes VIC 3038, Australia"
Saxonwood Drive,NARRE WARREN,-38.0322156,145.3110094,"Saxonwood Drive, Narre Warren VIC 3805, Australia"
Sayers Road,TARNEIT,-37.8441465,144.646577,"Sayers Road, Tarneit VIC 3029, Australia"
Sayers Road,TRUGANINA,-37.8519383,144.7219442,"Sayers Road, Truganina VIC 3029, Australia"
Sayers Road,HOPPERS CROSSING,-37.850277,144.704297,"Sayers Road, Hoppers Crossing VIC 3029, Australia"
Schotters Road,MERNDA,-37.6014062,145.1015438,"Schotters Road, Mernda VIC 3754, Australia"
Scott Parade,BROWN HILL,-37.5569739,143.8874817,"Scott Parade, Brown Hill VIC 3350, Australia"
Sea Lake-Swan Hill Road,SWAN HILL,-35.3785971,143.4373927,"Sea Lake - Swan Hill Road, Swan Hill VIC 3585, Australia"
Seaford Road,SEAFORD,-38.1086797,145.1390027,"Seaford Road, Seaford VIC 3198, Australia"
Seaspray Road,LONGFORD,-38.1746169,147.0881099,"Seaspray Road, Longford VIC 3851, Australia"
Seaspray Road,SEASPRAY,-38.3531915,147.1711687,"Seaspray Road, Seaspray VIC 3851, Australia"
Sebastopol-Smythesdale Road,ROSS CREEK,-37.6404115,143.7210135,"Sebastopol - Smythesdale Road, Smythesdale VIC 3351, Australia"
Selkirk Road,WOODSTOCK,-37.5376714,145.0691265,"Selkirk Road, Melbourne VIC 3751, Australia"
Serpells Road,TEMPLESTOWE,-37.7674273,145.1619093,"Serpells Road, Templestowe VIC 3106, Australia"
Service Street,CLUNES,-37.2940486,143.7872352,"Service Street, Clunes VIC 3370, Australia"
Settlement Road,THOMASTOWN,-37.6933526,145.0296755,"Settlement Road, Thomastown VIC 3074, Australia"
Seventh Street,MILDURA,-34.1765372,142.1560746,"Seventh Street, Mildura VIC 3500, Australia"
Seventh Street E,MILDURA,-34.1951748,142.1789619,"Seventh Street East, Mildura VIC 3500, Australia"
Seymour-Avenel Road,SEYMOUR,-37.0049735,145.1472378,"Seymour - Avenel Road, Seymour VIC 3660, Australia"
Seymour-Pyalong Road,SEYMOUR,-37.026005,145.14639,"Seymour (Seymour), VIC, Australia"
Seymour-Tooborac Road,PUCKAPUNYAL,-37.0210506,144.841501,"Seymour - Tooborac Road, Puckapunyal VIC 3662, Australia"
Seymour-Tooborac Road,SEYMOUR,-37.0307408,145.1018547,"Seymour - Tooborac Road, Seymour VIC 3660, Australia"
Shakespeare Street,HAMILTON,-37.7379724,142.0230482,"Shakespeare Street, Hamilton VIC 3300, Australia"
Shanahan Parade,NEWBOROUGH,-38.1902485,146.2887384,"Shanahan Parade, Newborough VIC 3825, Australia"
Sharps Road,TULLAMARINE,-37.7076404,144.8749767,"Sharps Road, Tullamarine VIC 3045, Australia"
Shaws Road,WERRIBEE,-37.8900667,144.6623568,"Shaws Road, Werribee VIC 3030, Australia"
Shearwater Drive,PAKENHAM,-38.0684706,145.4379931,"Shearwater Drive, Pakenham VIC 3810, Australia"
Sheepwash Road,BARWON HEADS,-38.2742721,144.4885719,"Sheepwash Road, Barwon Heads VIC 3227, Australia"
Shell Road,OCEAN GROVE,-38.2594615,144.5509798,"Shell Road, Ocean Grove VIC 3226, Australia"
Shell Road,POINT LONSDALE,-38.2704644,144.6101461,"Shell Road, Point Lonsdale VIC 3225, Australia"
Sherbourne Road,MONTMORENCY,-37.7094584,145.1202964,"Sherbourne Road, Montmorency VIC 3094, Australia"
Shoreline Drive,SEASPRAY,-38.37606,147.19063,"Seaspray (Seaspray), VIC, Australia"
Shrives Road,NARRE WARREN,-38.0284282,145.3016917,"Shrives Road, Narre Warren VIC 3805, Australia"
Simpsons Road,EAGLEHAWK,-36.7116577,144.256977,"Simpsons Road, Eaglehawk VIC 3556, Australia"
Sinclairs Road,ROCKBANK,-37.7312767,144.6607316,"Rockbank, Melbourne, VIC, Australia"
Sixteenth Street,IRYMPLE,-34.2575287,142.1763486,"Sixteenth Street, Irymple VIC 3498, Australia"
Sixteenth Street,MILDURA SOUTH,-34.227882,142.14099,"Sixteenth Street, Mildura VIC 3498, Australia"
Sixteenth Street,MILDURA,-34.2239081,142.1361531,"Sixteenth Street, Mildura VIC 3500, Australia"
Skene Street,WARRNAMBOOL,-38.3807968,142.4895044,"Skene Street, Warrnambool VIC 3280, Australia"
Skipton Street,REDAN,-37.5715635,143.8484856,"Skipton Street, Redan VIC 3350, Australia"
Skye Road,FRANKSTON,-38.1375428,145.1589726,"Skye Road, Frankston VIC 3199, Australia"
